id,slug,name,website,launch_monitors,price_min,price_max,price_snippets,crawl_status
0f68523c-793f-481e-8d56-8d0109b87181,d-c-golf-repair-studio-royal-oak-mi,D C GOLF Repair Studio,https://dcgolfrepairstudio.com/,,,,,ok
0f7267a6-e791-4df9-a9ec-8c1451ae0a45,new-york-golf-center-new-york-ny,New York GOLF Center,https://www.nygolfcenter.com/,,,,,ok
0f88cfdc-9a71-4118-963c-1fa85ffa8568,truefitclubs-englewood-co,Truefitclubs,https://www.truefitclubs.com/contacts,,,,,ok
0fe4abcb-497e-4458-b911-0fee6a47927e,beyond-golf-performance-austin-tx,Beyond GOLF Performance,https://beyondgolfperformance.com/,Foresight,150,150,"& Investment 1 Hour $150 2 Hours $280 ### Initial Assessment 1 Hour · $150 Full bag analysis — putting, short game",ok
101bb6a7-021e-47a5-a178-96af7fea078c,steve-dresser-golf-academy-pawleys-island-sc,Steve Dresser GOLF Academy,https://stevedressergolfacademy.com/,,,,,ok
1027c08a-b0df-4aff-8e13-de13a98684f2,fields-ranch-golf-shop-frisco-tx,Fields Ranch GOLF Shop,https://fieldsranch.com/dining-and-shopping#shopping,,,,,ok
103faf63-cb55-4a5f-bf5a-03344fc88175,duckhook-customs-milwaukee-wi,Duckhook Customs,https://duckhookcustoms.com/,,485,485,ifornia-monterey-1-5-1st-of-500-putter-torched-sunrise) Regular price $485.00 USD Regular price Sale price $485.00 U,ok
10915447-be86-4a74-9dee-aa1b41a97a2d,the-clubhouse-hawaii-honolulu-hi,The Clubhouse Hawaii,https://clubhousehawai.com/,SAM PuttLab | TrackMan,,,,ok
10a55d9c-9de0-40de-8ff7-db6eccac5e13,pxg-chicago-west-oakbrook-terrace-il,PXG Chicago West,https://www.pxg.com/pages/golf-stores/pxg-chicago-west,TrackMan,,,,ok
10c1b371-1d26-4ee0-8c06-935e768d8d99,barton-creek-fitting-studio-austin-tx,Barton Creek Fitting Studio,https://bartoncreekfittingstudio.com/,TrackMan,,,,ok
11003e34-6d20-46d1-b8b6-a1d6cbf4bd1d,pga-tour-shop-detroit-mi,PGA Tour Shop,https://www.pgatour.com/tournaments/2023/rocket-mortgage-classic/R2023524,,,,,ok
111ea5ae-794f-4232-a6b7-33daf44c3882,the-cypress-club-kennett-kennett-square-pa,The Cypress Club Kennett,https://thecypressclubkennett.com/,TrackMan,,,,ok
11c7c52d-e75d-488a-bc98-882b112f8af0,downtown-golf-stamford-ct,Downtown GOLF,https://www.downtowngolfusa.com/,,,,,ok
1236a493-089d-491c-b4c0-3cea1c31eee0,229-golf-albany-ga,229 GOLF,https://www.229golf.com/,,349,449,"lormade-spider-zt-putter-34) [ Taylormade Spider ZT Putter (34"") Price$349.99 ](https://www.229golf.com/product-page/ || lormade-spider-zt-putter-35) [ Taylormade Spider ZT Putter (35"") Price$449.99 ](https://www.229golf.com/product-page/ || er-zt-black-putter-35) [ Taylormade Spider ZT Black Putter (35"") Price$449.99 ](https://www.229golf.com/product-page/",ok
124ef7cd-bd4f-4f47-858e-16201578c166,baltimore-golf-inc-timonium-md,Baltimore GOLF INC,https://baltimoregolfinc.com/,,,,,ok
12d4cd3a-5343-4c8e-ab7a-8fc5880225df,greg-norman-signature-golf-course-at-the-grove-college-grove-tn,Greg Norman Signature GOLF Course At The Grove,https://groveliving.com/golf/,,,,,ok
12db1567-f5f7-4d60-b1f1-1efad5b31a68,sea-island-golf-performance-center-st-simons-island-ga,Sea Island GOLF Performance Center,https://www.seaisland.com/performance-center/,,,,,ok
13655a1b-c1e3-4554-837a-6d2a254e2c22,the-launch-pad-at-carls-golfland-bloomfield-hills-mi,The Launch Pad At Carl's Golfland,https://www.carlsgolfland.com/launch-pad,,,,,failed
1379638c-2dcb-493e-9769-345d7bbe6c33,mega-golf-center-batavia-oh,Mega GOLF Center,https://www.megagolfcenteroh.com/,,,,,failed
137a6d71-5a13-4317-8b43-ebc55671f6ef,kustom-clubs-fitting-center-manchester-nh,Kustom Clubs Fitting Center,https://www.kustomclubs.com/,,,,,failed
13bdef71-c944-4dac-bbdf-1dbec8d67e6c,tyler-golf-tyler-tx,Tyler GOLF,https://tylergolfshop.com/,,,,,ok
142614bf-a3cf-4cbd-b49f-0f8341958223,ozark-golf-super-center-rogers-ar,Ozark GOLF Super Center,https://ozarkgolf.com/,Foresight,,,,ok
14c5c712-4ab3-451a-b0ed-b2967d26c606,150-golf-precision-fitting-instruction-gulfport-ms,1.50 GOLF - Precision Fitting & Instruction,https://www.150golf.com/gulfport-ms,,,,,ok
14e75897-57a7-4362-b44e-9421ba277fab,avian-golf-seattle-wa,Avian GOLF,https://www.avian-golf.com/,,,,,ok
14fae433-ae74-4409-b0ed-93289ef53e96,fredericksburg-golf-center-fredericksburg-va,Fredericksburg GOLF Center,https://www.fredericksburggolf.com/,Foresight | SAM PuttLab,50,200,om Club Fitting Most Popular Precision-engineered for your swing From $50.00 From $50.00 * ▸Foresight Quad Launch || and fittings * ▸Tailored to budget & performance goals Price From $50.00 Availability By appointment only [Book || Wedge & Putter Fitting Score-saving precision around the green Wedge $50 · Putter $100 Wedge $50 · Putter $100 || er Fitting Score-saving precision around the green Wedge $50 · Putter $100 Wedge $50 · Putter $100 * ▸Titleist S || Score-saving precision around the green Wedge $50 · Putter $100 Wedge $50 · Putter $100 * ▸Titleist SureFit wed || precision around the green Wedge $50 · Putter $100 Wedge $50 · Putter $100 * ▸Titleist SureFit wedge fitting *,ok
15122b76-00cc-4328-b9b3-5eab66f6a0bc,greenwich-golf-fitting-studio-greenwich-ct,Greenwich GOLF Fitting Studio,https://www.greenwichgolf.com/,,,,,ok
156decf1-62d4-4e9e-ab8a-0af87ae66cf8,mcgolf-custom-clubs-waverly-oh,Mcgolf Custom Clubs,https://www.mcgolf.net/,FlightScope,,,,ok
158ef1b1-8707-44cf-b25b-ab4649176dae,scottsdale-golf-lessons-by-grip-rip-golf-scottsdale-az,Scottsdale GOLF Lessons By Grip & Rip GOLF,https://azgolflessons.golf/,,,,,ok
15a5d22f-9f23-4b6e-a972-c765aea95aa7,golf-performance-lab-los-angeles-ca,GOLF Performance Lab,https://www.golfperformancelab.com/,,,,,ok
15b8d4d4-805a-4d5a-b8e5-3fdff2a3ac83,the-golf-stable-prairie-village-ks,The GOLF Stable,https://www.thegolfstable.com/,Foresight | TrackMan,,,,ok
15d5502e-ba38-4976-94ce-19cbc7fc452a,pro-golf-discount-tupelo-ms,PRO GOLF Discount,https://progolftupelo.com/,TrackMan,,,,ok
15f20f94-3cac-41e9-9f98-e12e7b071111,mad-golfer-southampton-pa,Mad Golfer,https://www.madgolfergolfclub.com/,,,,,ok
1648e256-981d-438d-9d2d-565033b47971,p-45-knuckle-down-golf-warner-robins-ga,P 45 Knuckle Down GOLF,https://www.p45knuckledowngolf.com/,,,,,failed
1715283a-8308-492c-ade6-79bc8ae11f44,makefield-putters-bensalem-pa,Makefield Putters,https://makefieldgolf.com/,Quintic,,,,ok
1728319e-f947-404e-b0c4-ea74ecd94fee,salt-lake-golf-academy-south-salt-lake-ut,Salt Lake GOLF Academy,https://saltlakegolfacademy.com/,,,,,ok
174e09f9-4c7b-496c-bc2d-c5efabc0923b,under-cover-golf-rice-lake-wi,Under Cover GOLF,https://www.undercovergolfwi.com/,,,,,ok
176d7681-1146-42c8-9f8b-f21769ffac38,uinta-golf-orem-ut,Uinta GOLF,https://stores.worldwidegolfshops.com/ut/orem/uinta-golf-orm.html,,200,200,opping for a fitter and clubs all over again. Maybe I do have to drop $200 on a fitting somewhere to get this done,ok
17791cd6-a138-4558-9bad-b2b0a75fcaba,discount-golf-world-quincy-il,Discount GOLF World,https://www.discountgolfworld.com/,,,,,ok
178d7ad6-8097-4dbe-afd5-4a7c20078039,new-hampshire-golf-concord-nh,New Hampshire GOLF,https://www.nhgolf.com/,,,,,ok
1816fb30-dad3-4f36-8b7c-fbf03969740d,golfballscom-retail-center-lafayette-la,Golfballs.com Retail Center,https://www.golfballs.com/,,,,,ok
181aef0c-acee-418a-bc29-d6f35a505553,mast-golf-jackson-mi,Mast GOLF,https://www.facebook.com/MastGolf,,,,,failed
182250db-b637-4253-8088-0407f1e25942,maxs-golf-world-glendora-nj,Maxs GOLF World,https://www.instagram.com/maxs_golfworld?igsh=MTllbTF5ODN2OWllYg==,,,,,failed
182703b6-cbc4-4515-bbd4-b764c00cea99,renew-golf-balls-loudonville-oh,Renew GOLF Balls,https://www.renewgolfballs.com/,,,,,ok
186b3c71-f9de-4496-beaf-a21aeb65fd23,golden-golf-mart-san-gabriel-ca,Golden GOLF Mart,https://goldengolfmart.com/,,,,,ok
1872be48-0394-46be-bb3d-79c91096f82f,no-bogeys-golf-laguna-beach-ca,No Bogeys Golf,https://nobogeysgolf.com/,,,,,failed
